Date,Site,Researchers,Analyzer,Tree_Tag,UniqueID,Species,Height_m,Type,DBH_cm,Distance_cm,Air_Temp_C,Humidity_RH,Soil_Temp_C,VWC_1,VWC_2,VWC_3,Stem_Temp_C,ChamberID,Vol_L,comp_start_time,start_time,comp_end_time,Notes
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 1.25 stem 1,bg,1.25,stem,32.5,0,26.4,76.7,na,na,na,na,25.5,C5,0.76,15:21:00,na,15:23:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 0.5 stem 1,bg,0.5,stem,34,0,26.4,76.7,na,na,na,na,25.5,C5,0.76,15:24:00,na,15:26:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 14.2 leaf 1,hem,14.2,leaf,na,70,24.4,69.3,na,38.4,33.3,17.1,20.9,leaf A,0.76,10:41:00,10:04:00,10:47:00,leaf sample #6
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 12 leaf 1,hem,12,leaf,na,50,25,65.2,na,38.4,33.3,17.1,20,leaf A,0.76,11:21:00,na,11:24:00,Leaf sample #7
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 9.1 stem 1,hem,9.1,stem,23.5,0,25.8,61.1,na,38.4,33.3,17.1,23.5,C5,0.76,12:07:00,na,12:17:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 9.1 stem 2,hem,9.1,stem,23.5,0,25.8,61.1,na,38.4,33.3,17.1,23.5,C5,0.76,12:20:00,na,12:25:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 5.6 stem 1,hem,5.6,stem,27.5,0,24.1,65,na,38.4,33.3,17.1,21.1,C5,0.76,12:28:30,na,12:35:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 5.6 stem 2,hem,5.6,stem,27.5,0,24.1,65,na,38.4,33.3,17.1,21.1,D2,2.3,12:37:00,na,12:41:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,4,4 3 stem 1,hem,3,stem,29.7,0,25.2,60.3,na,38.4,33.3,17.1,20.7,D2,2.3,12:50:00,na,12:53:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,5,5 2 stem 1,rm,2,stem,na,0,na,na,17.5,43,2.353 s,2.358 s,na,S6,2.3,15:28:00,na,15:32:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,5,5 1 stem 1,rm,1,stem,na,0,na,na,17.5,43,2.353 s,2.358 s,na,S6,2.3,15:58:00,na,16:02:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,5,5 1 stem 2,rm,1,stem,na,0,na,na,17.5,43,2.353 s,2.358 s,na,S6,2.3,16:10:30,na,16:15:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #1,5,5 0.5 stem 1,rm,0.5,stem,na,0,na,na,17.5,43,2.353 s,2.358 s,na,S6,2.3,16:23:30,na,16:28:30,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 10.5 branch 1,bg,10.5,branch,6,15,26.1,73.3,na,na,na,na,26,Stem A,0.15,11:17:00,11:15:00,11:22:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 10.5 branch 2,bg,10.5,branch,6,15,26.1,73.3,na,na,na,na,24.4,Stem A,0.15,11:30:00,na,11:35:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 10.5 branch 3,bg,10.5,branch,5,150,26.1,73.3,na,na,na,na,27.7,Stem A,0.15,11:50:00,na,?,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 10.5 branch 4,bg,10.5,branch,5,135,26.1,73.3,na,na,na,na,27.7,Stem A,0.15,12:08:15,na,12:11:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 11.7 branch 1,bg,11.7,branch,5.5,5,26.1,73.3,na,na,na,na,27.7,Stem A,0.15,12:26:15,na,12:36:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 11.7 branch 2,bg,11.7,branch,5.5,25,26.1,73.3,na,na,na,na,27.7,Stem A,0.15,12:36:30,na,12:46:40,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 9.1 stem 1,bg,9.1,stem,19.5,0,29.5,62.3,na,na,na,na,25.5,C5,0.76,13:06:45,na,13:16:45,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 9.1 stem 2,bg,9.1,stem,19.5,0,29.5,62.3,na,na,na,na,25.5,C5,0.76,13:19:45,na,13:29:45,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 7 stem 1,bg,7,stem,24,0,28.6,63,na,na,na,na,25.6,C5,0.76,13:37:30,na,13:44:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 7 stem 2,bg,7,stem,24,0,28.6,63,na,na,na,na,25.6,C5,0.76,13:49:15,na,13:52:45,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 4.5 stem 1,bg,4.5,stem,26,0,29.8,60.4,na,na,na,na,26.2,C5,0.76,14:12:00,na,14:14:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 4.5 stem 2,bg,4.5,stem,26,0,29.8,60.4,na,na,na,na,26.2,C5,0.76,14:14:45,na,14:16:45,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 3 stem 1,bg,3,stem,28,0,29.9,56.8,na,na,na,na,25.8,C5,0.76,14:18:30,na,14:20:30,
07-18-2023,Swamp Rd,HB JG NH,LGR #2,2,2 3 stem 2,bg,3,stem,28,0,29.9,56.8,na,na,na,na,25.8,C5,0.76,14:21:00,na,14:23:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 14.2 stem 1,hem,14.2,stem,13,0,24.4,69.3,na,38.4,33.3,17.1,20.9,B5,na,9:54:45,9:52:00,10:04:00,dbh est
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 14.2 stem 2,hem,14.2,stem,13,0,24.4,69.3,na,38.4,33.3,17.1,20.9,B5,na,10:12:00,na,10:17:00,dbh est
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 12 stem 1,hem,12,stem,21,0,25,65.2,na,38.4,33.3,17.1,20,C5,0.76,10:43,na,10:53:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 12 stem 2,hem,12,stem,21,0,25,65.2,na,38.4,33.3,17.1,20,B5,na,10:59:30,na,11:07:00,"lichen inside, sampled"
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 9.1 leaf 1,hem,9.1,leaf,na,40,25.8,61.1,na,38.4,33.3,17.1,23.5,leaf A,0.76,11:41:45,na,11:45:00,Leaf sample #8
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 2 stem 1,hem,2,stem,31.2,0,24,68,na,38.4,33.3,17.1,20.7,S6,2.3,12:42:30,na,12:47:30,near standing water
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 1.25 stem 1,hem,1.25,stem,33,0,24,68,na,38.4,33.3,17.1,20.7,S6,2.3,12:48:30,na,12:53:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 1.25 stem 2,hem,1.25,stem,33,0,24,68,na,38.4,33.3,17.1,20.7,S6,2.3,12:56:15,na,12:59:15,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 0.5 stem 1,hem,0.5,stem,36.4,0,24,68,na,38.4,33.3,17.1,20.7,S6,2.3,13:03:00,na,13:07:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,4,4 0.5 stem 2,hem,0.5,stem,36.4,0,24,68,na,38.4,33.3,17.1,20.7,S6,2.3,13:11:00,na,13:15:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,3,3 1.25 stem 1,bg,1.25,stem,na,0,na,na,na,na,na,na,na,S6,2.3,13:16:30,na,13:19:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,3,3 0.5 stem 1,bg,0.5,stem,na,0,na,na,na,na,na,na,na,S6,2.3,13:21:30,na,13:24:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,3,3 2 stem 1,bg,2,stem,na,0,na,na,na,na,na,na,na,C5,0.76,13:29:00,na,13:32:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 13 stem 1,rm,13,stem,7.5,0,28,47.9,17.5,43,2.353 s,2.358 s,27.5,A,na,14:33:00,14:30:00,14:38:00,"fork above,end of main stem, no lichen"
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 13 stem 2,rm,13,stem,7.5,0,28,47.9,17.5,43,2.353 s,2.358 s,27.5,A,na,14:39:00,na,14:42:00,lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 13 stem 3,rm,13,stem,7.5,0,28,47.9,17.5,43,2.353 s,2.358 s,27.5,A,na,14:48:00,na,14:51:00,no lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 16 leaf 1,rm,16,leaf,na,na,na,na,17.5,43,2.353 s,2.358 s,na,Leaf B,na,15:14:15,na,15:17:15,"sunlit, top of canopy"
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 10 stem 1,rm,10,stem,11.5,0,28.4,44.9,17.5,43,2.353 s,2.358 s,27.9,B7,na,15:39:30,na,15:41:30,no lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 10 stem 2,rm,10,stem,11.5,0,28.4,44.9,17.5,43,2.353 s,2.358 s,27.9,B7,na,15:43:30,na,15:46:30,lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 10 stem 3,rm,10,stem,11.5,0,28.4,44.9,17.5,43,2.353 s,2.358 s,27.9,B7 ,na,15:47:00,na,15:50:00,no lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 10 leaf 1,rm,10,leaf,na,na,28.4,44.9,17.5,43,2.353 s,2.358 s,27.9,Leaf B,na,15:55:00,na,16:00:00,lesser lichen
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 8 stem 1,rm,8,stem,18,0,27.3,45.6,17.5,43,2.353 s,2.358 s,22.8,C5,0.76,16:06:30,na,16:09:30,"more lichen (dry, dead?)"
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 8 stem 2,rm,8,stem,18,0,27.3,45.6,17.5,43,2.353 s,2.358 s,22.8,C5,0.76,16:11:30,na,16:14:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 6 stem 1,rm,6,stem,24,0,25.8,48,17.5,43,2.353 s,2.358 s,22.3,C5,0.76,16:21:15,na,16:24:15,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 6 branch 1,rm,6,branch,7,50,25.8,48,17.5,43,2.353 s,2.358 s,22.3,A,na,16:26:00,na,16:28:00,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 4 stem 1,rm,4,stem,26,0,25.3,50.9,17.5,43,2.353 s,2.358 s,22.7,C5,0.76,16:34:00,na,16:36:30,
07-19-2023,Swamp Rd,HB JG NH,LGR #2,5,5 4 branch 1,rm,4,branch,16,50,25.3,50.9,17.5,43,2.353 s,2.358 s,22.7,A?,na,16:37:30,na,16:39:30,
08-16-2023,EMS,JG,LGR #3,321071,321071 0.5 stem 1,rm,0.5,stem,35.5,0,20.3,90,18,sat,sat,sat,19.2,C5,,14:05:00,14:10:00,14:39:03,Check times
08-16-2023,EMS,JG,LGR #3,321071,321071 0.5 stem 2,rm,0.5,stem,35.5,0,20.3,90,17.8,sat,sat,sat,19.3,C5,,14:41:50,14:41:34,14:44:53,
08-16-2023,EMS,JG,LGR #3,321071,321071 1.25 stem 1,rm,1.25,stem,26.5,0,19.7,95.6,17.5,sat,sat,sat,19.5,C5,,14:47:06,14:46:50,14:50:07,
08-16-2023,EMS,JG,LGR #3,321071,321071 1.25 stem 2,rm,1.25,stem,26.5,0,19.9,94.4,17.7,sat,sat,sat,19.3,C5,,14:51:47,14:51:31,14:54:52,
08-16-2023,EMS,JG,LGR #3,321071,321071 2 stem 1,rm,2,stem,25,0,20,93.7,17.5,sat,sat,sat,19.5,C5,,14:58:57,14:58:41,15:01:59,
08-16-2023,EMS,JG,LGR #3,321071,321071 2 stem 2,rm,2,stem,25,0,20.5,93.6,17.5,sat,sat,sat,19.6,C5,,15:06:48,15:06:32,15:08:50,
08-16-2023,EMS,JG,LGR #3,321071,321071 4 stem 1,rm,4,stem,22.5,0,21.2,86.6,17.5,sat,sat,sat,20,C5,,15:42:37,15:42:21,15:49:42,
08-16-2023,EMS,JG,LGR #3,321071,321071 4 stem 2,rm,4,stem,22.5,0,22.2,83.7,17.5,sat,sat,sat,20.2,C5,,15:51:17,15:51:01,15:54:19,
08-16-2023,EMS,JG,LGR #3,321071,321071 6 stem 1,rm,6,stem,20,0,21.5,86.2,17.5,sat,sat,sat,19.6,C5,,16:00:20,16:00:04,16:04:15,
08-16-2023,EMS,JG,LGR #3,321071,321071 6 stem 2,rm,6,stem,20,0,21.3,85.9,17.5,sat,sat,sat,19.7,C5,,16:08:32,16:08:16,16:13:34,
08-17-2023,EMS,JG,LGR #3,321071,321071 16 stem 1,rm,16,stem,7.5,0,19.9,87.7,17.5,sat,sat,sat,19,A10,,9:32:56,9:32:40,9:36:17,
08-17-2023,EMS,JG,LGR #3,321071,321071 16 stem 2,rm,16,stem,7.5,0,19.6,88.6,17.5,sat,sat,sat,19.2,A10,,9:37:57,9:37:41,9:41:07,
08-17-2023,EMS,JG,LGR #3,321071,321071 16 leaf 1,rm,16,leaf,na,50,19.3,89.8,17.5,sat,sat,sat,19.2,Leaf A,,9:43:49,9:43:33,9:47:47,
08-17-2023,EMS,JG,LGR #3,321071,321071 18 leaf 2,rm,18,leaf,6.5,100,19.2,90.5,17.5,sat,sat,sat,19,Leaf B,,10:01:25,10:01:09,10:04:29,
08-17-2023,EMS,JG,LGR #3,321071,321071 18 stem 1,rm,18,stem,6.5,0,19.7,88.6,17.5,sat,sat,sat,19,A10,,10:11:02,10:10:46,10:14:06,
08-17-2023,EMS,JG,LGR #3,321071,321071 18 stem 2,rm,18,stem,6.5,0,19.7,88.5,17.5,sat,sat,sat,19.2,A10,,10:23:23,10:23:07,10:26:26,
08-17-2023,EMS,JG,LGR #3,321071,321071 22 stem 1,rm,22,stem,5,0,22.9,73.9,17.5,sat,sat,sat,20,A10,,10:47:10,10:46:54,10:50:45,
08-17-2023,EMS,JG,LGR #3,321071,321071 22 stem 2,rm,22,stem,5,0,21,81.4,17.5,sat,sat,sat,20.4,A10,,10:52:26,10:52:10,10:55:16,
08-17-2023,EMS,JG,LGR #3,321071,321071 22 leaf 1,rm,22,leaf,na,100,20.7,84.6,17.5,sat,sat,sat,20.4,Leaf B,,10:56:36,10:56:20,11:00:00,
08-17-2023,EMS,JG,LGR #3,321071,321071 14 stem 1,rm,14,stem,16.5,0,83.5,20.7,17.5,sat,sat,sat,19,B7,,11:15:42,11:15:26,11:17:55,
08-17-2023,EMS,JG,LGR #3,321071,321071 14 stem 2,rm,14,stem,16.5,0,20.3,86.4,17.5,sat,sat,sat,19.3,B7,,11:18:45,11:18:29,11:22:16,
08-17-2023,EMS,JG,LGR #3,321071,321071 11 stem 1,rm,11,stem,17.5,0,20.4,85.4,17.5,sat,sat,sat,19.1,B7,,11:27:02,11:26:46,11:29:04,
08-17-2023,EMS,JG,LGR #3,321071,321071 11 stem 2,rm,11,stem,17.5,0,20.5,84.4,17.5,sat,sat,sat,19,B7,,11:34:04,11:33:48,11:36:11,
08-17-2023,EMS,JG,LGR #3,321071,321071 8 stem 1,rm,8,stem,18.5,0,21.1,81.6,17.5,sat,sat,sat,19,B7,,11:42:43,11:42:27,11:44:45,
08-17-2023,EMS,JG,LGR #3,321071,321071 8 stem 2,rm,8,stem,18.5,0,21.2,81.7,17.5,sat,sat,sat,18.9,B7,,11:47:47,11:47:31,11:50:00,
08-17-2023,EMS,JG,LGR #3,321071,321071 5 stem 1,rm,5,stem,21,0,21.2,83.6,17.5,sat,sat,sat,20.1,B7,,11:55:08,11:54:52,11:56:09,
08-17-2023,EMS,JG,LGR #3,321071,321071 5 stem 2,rm,5,stem,21,0,20.8,84.9,17.5,sat,sat,sat,20,B7,,12:01:53,12:01:37,12:04:33,
08-17-2023,EMS,JG,LGR #3,321071,321071 5 stem 3,rm,5,stem,21,0,20.7,86.2,17.5,sat,sat,sat,20,B7,,12:06:03,12:05:47,12:08:04,
08-17-2023,EMS,JG,LGR #3,321071,321071 1.25 stem 3,rm,1.25,stem,26.5,0,21.7,81.3,18,sat,sat,sat,20,C5,,12:38:18,12:38:02,12:39:30,
08-17-2023,EMS,JG,LGR #3,321071,321071 2 stem 3,rm,2,stem,25,0,21.7,82.6,18,sat,sat,sat,20.2,C5,,12:40:37,12:40:21,12:42:40,
08-17-2023,EMS,JG,LGR #3,321071,321071 0.5 stem 3,rm,0.5,stem,35.5,0,21.8,81.8,18,sat,sat,sat,20,C5,,12:45:09,12:44:53,12:47:10,
08-17-2023,EMS,JG,LGR #3,321902,321902 1.25 stem 1,hem,1.25,stem,48,0,21.9,84,18.2,27.4,33.7,37.4,20.2,C5,,12:48:49,12:48:33,12:51:54,
08-17-2023,EMS,JG,LGR #3,321902,321902 1.25 stem 2,hem,1.25,stem,48,0,21.9,84.1,18.2,27.4,33.7,37.4,20.1,C5,,12:52:52,12:52:36,12:55:04,
08-17-2023,EMS,JG,LGR #3,321902,321902 0.5 stem 1,hem,0.5,stem,52,0,22,83,18.2,27.4,33.7,37.4,20,C5,,12:55:36,12:55:20,12:57:40,
08-17-2023,EMS,JG,LGR #3,321902,321902 0.5 stem 2,hem,0.5,stem,52,0,21.5,84.4,18.2,27.4,33.7,37.4,20.1,C5,,13:02:10,13:01:54,13:03:56,
08-17-2023,EMS,JG,LGR #3,321902,321902 2 stem 1,hem,2,stem,46,0,21.5,83.2,18.2,27.4,33.7,37.4,20.2,C5,,13:05:00,13:04:44,13:07:02,
08-17-2023,EMS,JG,LGR #3,321902,321902 2 stem 2,hem,2,stem,46,0,21.5,85,18.2,27.4,33.7,37.4,20.1,C5,,13:08:56,13:08:40,13:14:09,
08-17-2023,EMS,JG,LGR #3,321902,321902 9 stem 1,hem,9,stem,34,0,23.5,77,18.2,27.4,33.7,37.4,20.2,C5,,13:35:19,13:35:03,13:39:23,
08-17-2023,EMS,JG,LGR #3,321902,321902 9 stem 2,hem,9,stem,34,0,23,76.2,18.2,27.4,33.7,37.4,19.8,C5,,13:40:31,13:40:15,13:43:33,
08-17-2023,EMS,JG,LGR #3,321902,321902 9 branch 1,hem,9,branch,7.5,50,22.1,79.8,18.2,27.4,33.7,37.4,20.5,A10,,13:52:51,13:52:35,13:55:16,
08-17-2023,EMS,JG,LGR #3,321902,321902 11 leaf 1,hem,11,leaf,na,200,22,78.9,18.2,27.4,33.7,37.4,na,Leaf B,,14:02:46,14:02:30,14:05:47,
08-17-2023,EMS,JG,LGR #3,321902,321902 15 stem 1,hem,15,stem,27,0,21.9,78.6,18.2,27.4,33.7,37.4,20.3,C5,,14:16:03,14:15:47,14:19:06,
08-17-2023,EMS,JG,LGR #3,321902,321902 15 stem 2,hem,15,stem,27,0,22,79.4,18.2,27.4,33.7,37.4,20.3,C5,,14:22:24,14:22:08,14:25:26,
08-17-2023,EMS,JG,LGR #3,321902,321902 15 branch 1,hem,15,branch,5.5,15,21.8,79.7,18.2,27.4,33.7,37.4,21.5,A10,,14:27:50,14:27:34,14:30:32,
08-17-2023,EMS,JG,LGR #3,321902,321902 15 leaf 1,hem,15,leaf,na,75,21.4,81.8,18.2,27.4,33.7,37.4,21.5,Leaf A,,14:35:40,14:35:24,14:37:44,
08-17-2023,EMS,JG,LGR #3,321902,321902 6 leaf 1,hem,6,leaf,na,200,21.5,82.9,18.2,27.4,33.7,37.4,20,Leaf A,,14:47:58,14:47:42,14:50:59,
08-17-2023,EMS,JG,LGR #3,321902,321902 6 stem 1,hem,6,stem,37,0,21.5,83.3,18.2,27.4,33.7,37.4,20,C5,,14:53:21,14:53:05,14:56:23,
08-17-2023,EMS,JG,LGR #3,321902,321902 6 stem 2,hem,6,stem,37,0,21.5,81.7,18.2,27.4,33.7,37.4,19.9,C5,,15:00:13,14:59:57,15:03:37,
08-17-2023,EMS,JG,LGR #3,300607,300607 16 stem 1,ro,16,stem,8.5,0,23.1,73.6,18.2,19.5,23.1,25.4,22.2,A10,,15:36:59,15:36:43,15:40:42,
08-17-2023,EMS,JG,LGR #3,300607,300607 16 stem 2,ro,16,stem,8.5,0,23.1,73.6,18.2,19.5,23.1,25.4,22.2,A10,,15:42:07,15:41:51,15:45:08,
08-17-2023,EMS,JG,LGR #3,300607,300607 16 leaf 1,ro,16,leaf,na,100,23.2,73.4,18.2,19.5,23.1,25.4,22.2,Leaf B,,15:50:19,15:50:03,15:53:43,
08-17-2023,EMS,JG,LGR #3,300607,300607 12 leaf 1,ro,12,leaf,na,100,21.7,80.5,18.2,19.5,23.1,25.4,20.1,Leaf B,,16:00:10,15:59:54,16:02:58,
08-17-2023,EMS,JG,LGR #3,300607,300607 12 stem 1,ro,12,stem,15,0,21.7,80.5,18.2,19.5,23.1,25.4,20.1,B7,,16:05:33,16:05:17,16:08:08,
08-17-2023,EMS,JG,LGR #3,300607,300607 12 stem 2,ro,12,stem,15,0,21.7,80.6,18.2,19.5,23.1,25.4,20.1,B7,,16:09:29,16:09:13,16:13:47,
08-17-2023,EMS,JG,LGR #3,300607,300607 9 stem 1,ro,9,stem,16.5,0,21.5,81.3,18.2,19.5,23.1,25.4,20.4,B7,,16:18:19,16:18:03,16:20:22,
08-17-2023,EMS,JG,LGR #3,300607,300607 9 stem 2,ro,9,stem,16.5,0,21.6,80.5,18.2,19.5,23.1,25.4,20.5,B7,,16:22:15,16:21:59,16:25:06,
08-17-2023,EMS,JG,LGR #3,300607,300607 8 leaf 1,ro,8,leaf,na,150,21.8,80.3,18.2,19.5,23.1,25.4,na,Leaf B,,16:27:55,16:27:39,16:32:00,
08-17-2023,EMS,JG,LGR #3,300607,300607 7 stem 1,ro,7,stem,20,0,21.9,79.9,18.2,19.5,23.1,25.4,20.7,C5,,16:41:24,16:41:08,16:44:04,
08-17-2023,EMS,JG,LGR #3,300607,300607 7 stem 2,ro,7,stem,20,0,21.8,80,18.2,19.5,23.1,25.4,20.4,C5,,16:45:48,16:45:32,16:47:54,
08-17-2023,EMS,JG,LGR #3,300607,300607 5 stem 1,ro,5,stem,20,0,22,80.3,18.2,19.5,23.1,25.4,20.4,C5,,16:50:30,16:50:14,16:52:47,
08-17-2023,EMS,JG,LGR #3,300607,300607 5 stem 2,ro,5,stem,20,0,21.6,83.5,18.2,19.5,23.1,25.4,20.5,C5,,16:55:52,16:55:36,17:01:15,
08-17-2023,EMS,JG,LGR #3,300607,300607 3 stem 1,ro,3,stem,21,0,21.7,81.7,18.2,19.5,23.1,25.4,20,C5,,17:04:12,17:03:56,17:06:47,
08-17-2023,EMS,JG,LGR #3,300607,300607 3 stem 2,ro,3,stem,21,0,21.8,82.6,18.2,19.5,23.1,25.4,19.9,C5,,17:08:36,17:08:20,17:10:36,
08-17-2023,EMS,JG,LGR #3,300607,300607 0.5 stem 1,ro,0.5,stem,24,0,20.4,90.2,18.2,19.5,23.1,25.4,19.6,C5,,17:39:59,17:39:43,17:42:19,
08-17-2023,EMS,JG,LGR #3,300607,300607 0.5 stem 2,ro,0.5,stem,24,0,20.4,90.4,18.2,19.5,23.1,25.4,19.7,C5,,17:43:28,17:43:12,17:46:29,
08-17-2023,EMS,JG,LGR #3,300607,300607 1.25 stem 1,ro,1.25,stem,22,0,20.5,90.1,18.2,19.5,23.1,25.4,19.9,C5,,17:28:49,17:28:33,17:31:53,
08-17-2023,EMS,JG,LGR #3,300607,300607 1.25 stem 2,ro,1.25,stem,22,0,20.4,91.2,18.2,19.5,23.1,25.4,20,C5,,17:33:18,17:33:02,17:36:26,
08-17-2023,EMS,JG,LGR #3,300607,300607 2 stem 1,ro,2,stem,21,0,21,88.1,18.2,19.5,23.1,25.4,19.9,C5,,17:23:46,17:23:30,17:26:45,
08-17-2023,EMS,JG,LGR #3,300607,300607 2 stem 2,ro,2,stem,21,0,21,88,18.2,19.5,23.1,25.4,20.1,C5,,17:20:53,17:20:37,17:22:53,
